STUSPS	NAME	INTPTLONG	INTPTLAT
AL	Abbeville city	-85.259634	31.564216
AL	Adamsville city	-86.97465	33.605751
AL	Addison town	-87.177901	34.202689
AL	Akron town	-87.741757	32.879417
AL	Alabaster city	-86.82308	33.214355
AL	Albertville city	-86.21066	34.26313
AL	Alexander City city	-85.937122	32.92724
AL	Aliceville city	-88.159445	33.123744
AL	Allgood town	-86.516109	33.907623
AL	Altoona town	-86.305671	34.039218
AL	Andalusia city	-86.478031	31.309436
AL	Anderson town	-87.274274	34.915675
AL	Anniston city	-85.810918	33.673441
AL	Arab city	-86.500771	34.330328
AL	Ardmore town	-86.828764	34.987805
AL	Argo town	-86.505436	33.691132
AL	Ariton town	-85.713061	31.597772
AL	Arley town	-87.219298	34.076353
AL	Ashford town	-85.236236	31.185284
AL	Ashland town	-85.833706	33.269892
AL	Ashville city	-86.271667	33.83616
AL	Athens city	-86.949534	34.778334
AL	Atmore city	-87.459254	31.131087
AL	Attalla city	-86.121037	33.986189
AL	Auburn city	-85.489545	32.607722
AL	Autaugaville town	-86.658752	32.432563
AL	Avon town	-85.279184	31.179724
AL	Babbie town	-86.319437	31.302083
AL	Baileyton town	-86.608788	34.260858
AL	Bakerhill town	-85.295408	31.776923
AL	Banks town	-85.836435	31.813265
AL	Bay Minette city	-87.77802	30.882598
AL	Bayou La Batre city	-88.263271	30.407586
AL	Bear Creek town	-87.712516	34.255586
AL	Beatrice town	-87.209046	31.733309
AL	Beaverton town	-88.021778	33.935411
AL	Belk town	-87.928609	33.651647
AL	Benton town	-86.817546	32.307931
AL	Berry town	-87.607837	33.663946
AL	Bessemer city	-86.971504	33.370824
AL	Billingsley town	-86.709707	32.66052
AL	Birmingham city	-86.799047	33.527444
AL	Black town	-85.742791	31.010249
AL	Blountsville town	-86.583679	34.075678
AL	Blue Springs town	-85.503527	31.663516
AL	Boaz city	-86.155152	34.19902
AL	Boligee town	-88.028579	32.7681
AL	Bon Air town	-86.327288	33.259078
AL	Brantley town	-86.256784	31.581992
AL	Brent city	-87.172088	32.944893
AL	Brewton city	-87.076583	31.109175
AL	Bridgeport city	-85.723564	34.950711
AL	Brighton city	-86.945389	33.439227
AL	Brilliant town	-87.769145	34.025353
AL	Brookside town	-86.89818	33.638265
AL	Brookwood town	-87.328588	33.239341
AL	Brundidge city	-85.81755	31.717639
AL	Butler town	-88.21397	32.095113
AL	Calera city	-86.744636	33.120947
AL	Camden city	-87.289775	31.998816
AL	Camp Hill town	-85.655984	32.797836
AL	Carbon Hill city	-87.522078	33.894991
AL	Cardiff town	-86.930557	33.647188
AL	Carolina town	-86.521001	31.23415
AL	Carrollton town	-88.095071	33.261904
AL	Castleberry town	-87.029129	31.299678
